name;elevation;latitude;longitude;continent;country;range
Mount Timpanogos;3581;40.4;-111.633;North America;United States;Wasatch Range
Mount Phillips;3579;36.4782;-105.162;North America;United States;Sangre de Cristo Range
Mount Mccaleb;3561;44.25;-113.583;North America;United States;Idaho-Bitterroot Rockies
South Twin;3549;52.203872;-117.434921;North America;Canada;Canadian Rockies
Monarch Mountain;3555;51.899443;-125.876287;North America;Canada;British Columbia Coast Ranges
East Grandaddy Mountain;3546;40.5908;-110.786;North America;United States;Wasatch Range
Mount Temple;3544;51.350986;-116.206083;North America;Canada;Canadian Rockies
Atitlan;3537;14.5833;-91.1833;North America;Guatemala;Guatemala Ranges
Goodsir Towers North;3525;51.210432;-116.414394;North America;Canada;Canadian Rockies
Mount Sir Sandford;3520;51.656667;-117.8675;North America;Canada;
Snow Dome;3520;52.189615;-117.317162;North America;Canada;Canadian Rockies
Tioga Peak;3513;37.9494;-119.246;North America;United States;Sierra Nevada
Mount Watson;3511;40.6972;-110.978;North America;United States;Uinta Range
Smiley Mountain;3508;43.6997;-113.81;North America;United States;Idaho-Bitterroot Rockies
Mount Bryce;3507;52.041036;-117.329779;North America;Canada;Canadian Rockies
Mount Kitchener;3505;52.215706;-117.321281;North America;Canada;Canadian Rockies
Haleakala;3505;20.7047;-156.177;North America;United States;
San Gorgonio;3505;34.1006;-116.828;North America;United States;Central and Southern California Ranges
Doyle Peak;3493;35.33;-111.646;North America;United States;Colorado Plateau
Mount Farnham;3493;50.4883;-116.487;North America;Canada;British Columbia Interior
Mount Hungabee;3492;51.3333;-116.283;North America;Canada;Canadian Rockies
Mount Athabasca;3491;52.180353;-117.201548;North America;Canada;Canadian Rockies
Mount King Edward;3490;52.156389;-117.519444;North America;Canada;Canadian Rockies
Mount St. John;3484;43.78185;-110.772915;North America;United States;Teton Range - Yellowstone Area
Twin Sisters;3483;40.283333;-105.516667;North America;United States;Front Range
Mount Baldy;3476;33.906005;-109.562659;North America;United States;
Mount McGinnis;3;63.49;-146.37;North America;United States;Alaska Range
Volcan Baru;3474;8.8;-82.53;North America;Panama;Costa Rica - Panama Ranges
Mount Lamborn;3474;38.8028;-107.52283;North America;United States;Elk Range Area
Mount Victoria;3464;51.376924;-116.307106;North America;Canada;Canadian Rockies
Twin Peaks;3453;40.5939;-111.72;North America;United States;Wasatch Range
Pfeifferhorn;3452;40.5333;-111.7;North America;United States;Wasatch Range
White Baldy;3451;40.5331;-111.681;North America;United States;Wasatch Range
Mount Andromeda;3450;52.174195;-117.238798;North America;Canada;Canadian Rockies
Mount Joffre;3449;50.527942;-115.207443;North America;Canada;Canadian Rockies
Static Peak;3445;40.8;-110.817;North America;United States;Teton Range - Yellowstone Area
Mount Taylor;3445;35.238694;-107.608528;North America;United States;Sangre de Cristo Range
Sunrise Peak;3437;33.9556;-109.558;North America;United States;Southwest Basins and Ranges
Irazu;3432;9.979167;-83.8525;North America;Costa Rica;
Volcan Irazu;3432;9.976497;-83.854381;North America;Costa Rica;Costa Rica - Panama Ranges
