name;elevation;latitude;longitude;continent;country;range
Mitre Peak;6025;35.718039;76.503064;Asia;Pakistan;Karakoram 
Pharilapcha;6017;27.9167;86.6667;Asia;Nepal;
Deo Tibba;6001;32.2114;77.3972;Asia;India;
Thapa Peak;6000;28.25;85.5833;Asia;Nepal;
Rikigo - Rolwaling Himal;5983;27.932541;86.489868;Asia;Nepal;Sikkim-Eastern Nepal Himalaya
Kholodnaja Stena;5947;38.6028;72.5556;Asia;Tajikistan;Pamir
Ramdung;5925;27.813913;86.419873;Asia;Nepal;Central Nepal Himalaya
Forgotten Peak;5889;33.110523;76.891251;Asia;India;
Hkakabo Razi;5881;28.3167;97.4667;Asia;Myanmar/China;
Naya Kanga;5846;28.168322;85.548541;Asia;Nepal;Central Nepal Himalaya
Rudragaira;5819;30.81038;78.898831;Asia;India;
Pokhalde;5794;27.9333;86.8333;Asia;Nepal;Central Nepal Himalaya
Baden-Powell Peak;5718;28.1671;85.5325;Asia;Nepal;Central Nepal Himalaya
Damavand;5670;35.9558;52.1086;Asia;Iran;Alborz
Kala Pattar;5545;27.995833;86.828417;Asia;Nepal;Central Nepal Himalaya
Karakoram Pass;5540;35.513333;77.823056;Asia;Pakistan/India;Karakoram 
Yala Peak;5520;28.25;85.6167;Asia;Nepal;Central Nepal Himalaya
Bogda Peak;5445;43.75;88.5333;Asia;China;Eastern Tien Shan
Mount Kolahoi;5425;34.15;75.330278;Asia;India;
Haba Xue Shan;5396;27.3394;100.191;Asia;China;
Gokyo Ri;5357;27.962089;86.683214;Asia;Nepal;
Malika Parbat;5334;34.842049;73.734199;Asia;Pakistan;
Gumburanjo;5300;32.961686;77.257097;Asia;India;Punjab Himalaya
Malika Parbat;5290;34.82761;73.726587;Asia;Pakistan;Karakoram 
Gompe Utse;5240;29.7;91.0333;Asia;China;Central Tibetan Plateau
Mount Ararat;5165;39.7;44.3;Asia;Turkey;Southeast Anatolia
Harmukh;5148;33.7833;76.0167;Asia;India;
Energia;5120;39.18204;68.199556;Asia;Tajikistan;Central Turkestan Ranges
Nangkartshang Peak;5083;27.904;86.8337;Asia;Nepal;Central Nepal Himalaya
Zamok;5070;39.216667;68.2;Asia;Tajikistan;Pamir
Pik Talgar;5020;43.1;77.3;Asia;Kyrgyzstan;
Myra I;4950;39.4333;73;Asia;Kyrgyzstan;Pamir
Alam Kuh;4850;36.2239;50.5757;Asia;Iran;Alborz
Sabalan;4811;38.266944;47.836944;Asia;Iran;Northwest Iran Ranges
Kliuchevskoi;4750;56.0667;160.633;Asia;Russia;Kamchatka Peninsula
Tattakuti;4741;33.89333;74.48861;Asia;India;
Mun Peak;4650;32.287392;76.390024;Asia;India;Punjab Himalaya
Khazret Sultan;4643;38.947394;68.172655;Asia;Uzbekistan/Tajikistan;
Kyimoshung Ri;4620;28.214945;85.593667;Asia;Nepal;Central Nepal Himalaya
Gora Belukha;4506;49.8067;86.5908;Asia;Kazakhstan;Altai
Khole-no;4375;36.108201;51.588192;Asia;Iran;Alborz
Khuiten Uul;4374;49.149167;87.825;Asia;Mongolia/China;Altai
Mt Khuiten;4374;49.6167;106.35;Asia;Mongolia/China;
Kyangjin;4350;28.202465;85.610447;Asia;Nepal;Central Nepal Himalaya
Dobarar;4250;35.766154;52.230849;Asia;Iran;Alborz
Shah Alborz;4200;36.314523;50.753262;Asia;Iran;Alborz
Affarwat;4143;34.020048;74.337015;Asia;India/Pakistan;
Nairamdal;4117;49.178;87.8235;Asia;Mongolia/Philippines;Altai
Mount Kinabalu;4102;6.08333;116.55;Asia;Malaysia;Borneo
Sutay Uul;4090;46.61768;93.594063;Asia;Mongolia;Altai
Tavan Bogd;4082;49.145335;87.816163;Asia;Mongolia;Altai
Pike;4065;27.5167;86.4667;Asia;Nepal;
Changizchal;4050;35.785165;52.115021;Asia;Iran;Alborz
Suphan Dagi;4048;38.9333;42.8333;Asia;Turkey;Southeast Anatolia
Aktru;4045;50.0667;87.6667;Asia;Russia;
Yushan;3997;23.4667;120.95;Asia;Taiwan;Taiwan
Mount Albert Edward;3990;-8.5;147.333;Asia;Papua New Guinea;
Mahadev;3966;34.152443;74.987268;Asia;India;
Deglii Tsagaan;3965;49.70688;91.3188;Asia;Mongolia;Altai
Touchal;3964;35.53;51.25;Asia;Iran;Alborz
Kackar;3942;40.830956;41.154785;Asia;Turkey;
Gangaa Peak;3940;49.6919;91.3989;Asia;Mongolia/Mongolia;
Tsengel Khairkhan Uul;3938;48.64879;89.15755;Asia;Mongolia;Altai
Erciyes;3917;38.5333;35.4667;Asia;Turkey;Central Anatolia
